          3.430      -Infinity      -Infinity
       1485.190            NaN            NaN
       1488.620            NaN            NaN
       1492.050            NaN            NaN
       1495.480            NaN            NaN
       1498.910       5069.186       3584.456
       1502.340       5067.470       3583.242
       1505.770            NaN            NaN
       1509.200            NaN            NaN
       1512.630            NaN            NaN
       1516.060       5064.581       3581.200
       1519.490       5064.571       3581.193
       1522.920       5071.727       3586.252
       1526.350       5072.151       3586.553
       1529.780       5066.438       3582.513
       1533.210       5073.694       3587.644
       1536.640       5073.840       3587.747
       1540.070       5065.656       3581.960
       1543.500       5064.503       3581.145
       1546.930       5073.273       3587.346
       1550.360       5075.976       3589.257
       1553.790            NaN            NaN
       1557.220            NaN            NaN
       1560.650            NaN            NaN
       1564.080            NaN            NaN
       1567.510       5076.429       3589.577
       1570.940       5076.419       3589.571
       1574.370       5077.070       3590.031
       1577.800            NaN            NaN
       1581.230       5078.801       3591.255
       1584.660       5071.829       3586.325
       1588.090       5066.408       3582.492
       1591.520       5066.399       3582.485
       1594.950       5072.135       3586.541
       1598.380       5074.637       3588.310
       1601.810            NaN            NaN
       1605.240            NaN            NaN
       1608.670            NaN            NaN
       1612.100       5065.294       3581.704
       1615.530       5064.305       3581.004
       1618.960       5067.972       3583.598
       1622.390            NaN            NaN
       1625.820            NaN            NaN
       1629.250            NaN            NaN
       1632.680       5068.330       3583.851
       1636.110       5064.249       3580.965
       1639.540            NaN            NaN
       1642.970            NaN            NaN
       1646.400            NaN            NaN
       1649.830       5070.707       3585.531
       1653.260            NaN            NaN
       1656.690            NaN            NaN
       1660.120       5073.396       3587.433
       1663.550       5073.387       3587.426
       1666.980       5064.168       3580.908
       1670.410       5067.910       3583.554
       1673.840       5071.053       3585.776
       1677.270       5069.618       3584.762
       1680.700       5076.879       3589.895
       1684.130       5077.060       3590.023
       1687.560       5073.572       3587.557
       1690.990       5074.111       3587.938
       1694.420       5069.879       3584.946
       1697.850       5066.541       3582.585
       1701.280       5065.011       3581.504
       1704.710       5075.918       3589.216
       1708.140       5078.705       3591.186
       1711.570       5075.832       3589.155
       1715.000       5064.045       3580.820
       1718.430       5064.036       3580.814
       1721.860       5076.315       3589.497
       1725.290       5079.187       3591.528
       1728.720       5076.855       3589.879
       1732.150       5069.211       3584.473
       1735.580       5068.782       3584.170
       1739.010            NaN            NaN
       1742.440            NaN            NaN
       1745.870            NaN            NaN
       1749.300            NaN            NaN
       1752.730       5066.939       3582.867
       1756.160       5066.931       3582.861
       1759.590       5065.680       3581.977
       1763.020       5077.474       3590.316
       1766.450       5077.466       3590.310
       1769.880       5063.907       3580.723
       1773.310       5069.469       3584.656
       1776.740       5069.461       3584.650
       1780.170       5063.882       3580.706
       1783.600       5066.229       3582.365
       1787.030       5066.220       3582.359
       1790.460       5063.857       3580.688
       1793.890       5063.849       3580.682
       1797.320       5063.841       3580.676
       1800.750       5066.815       3582.779
       1804.180       5066.807       3582.773
       1807.610       5064.642       3581.242
       1811.040       5064.633       3581.237
       1814.470       5063.799       3580.647
       1817.900       5065.184       3581.626
       1821.330       5065.176       3581.620
       1824.760       5063.775       3580.629
       1828.190       5064.597       3581.211
       1831.620       5064.589       3581.205
       1835.050       5063.750       3580.612
       1838.480       5063.742       3580.606
       1841.910            NaN            NaN
       1845.340            NaN            NaN
       1848.770       5075.394       3588.846
       1852.200       5078.246       3590.862
       1855.630       5078.238       3590.857
       1859.060            NaN            NaN
       1862.490            NaN            NaN
       1865.920       5075.228       3588.728
       1869.350       5071.609       3586.169
       1872.780       5074.786       3588.415
       1876.210       5074.778       3588.410
       1879.640       5073.026       3587.171
       1883.070            NaN            NaN
       1886.500            NaN            NaN
       1889.930            NaN            NaN
       1893.360            NaN            NaN
       1896.790       5070.273       3585.224
       1900.220       5076.692       3589.763
       1903.650            NaN            NaN
       1907.080            NaN            NaN
       1910.510            NaN            NaN
       1913.940            NaN            NaN
       1917.370            NaN            NaN
       1920.800            NaN            NaN
       1924.230       5070.584       3585.444
       1927.660       5064.242       3580.960
       1931.090       5063.528       3580.455
       1934.520       5063.520       3580.450
       1937.950       5076.739       3589.796
       1941.380       5079.224       3591.554
       1944.810            NaN            NaN
       1948.240       5076.337       3589.512
       1951.670       5067.117       3582.993
       1955.100       5063.474       3580.417
       1958.530            NaN            NaN
       1961.960            NaN            NaN
       1965.390            NaN            NaN
       1968.820            NaN            NaN
       1972.250            NaN            NaN
       1975.680            NaN            NaN
       1979.110            NaN            NaN
       1982.540            NaN            NaN
       1985.970       5065.952       3582.169
       1989.400       5073.345       3587.396
       1992.830       5073.337       3587.391
       1996.260            NaN            NaN
       1999.690            NaN            NaN
       2003.120            NaN            NaN
       2006.550            NaN            NaN
       2009.980            NaN            NaN
       2013.410       5067.528       3583.283
       2016.840       5069.046       3584.357
       2020.270       5070.165       3585.148
       2023.700       5070.158       3585.143
       2027.130       5072.460       3586.771
       2030.560       5071.302       3585.952
       2033.990       5068.084       3583.677
       2037.420       5073.213       3587.304
       2040.850       5072.374       3586.710
       2044.280       5065.303       3581.710
       2047.710       5077.650       3590.441
       2051.140            NaN            NaN
       2054.570       5077.571       3590.385
       2058.000       5072.701       3586.941
       2061.430            NaN            NaN
       2064.860            NaN            NaN
       2068.290            NaN            NaN
       2071.720            NaN            NaN
       2075.150            NaN            NaN
       2078.580            NaN            NaN
       2082.010       5063.201       3580.224
       2085.440       5067.971       3583.597
       2088.870       5068.307       3583.835
       2092.300       5064.926       3581.443
       2095.730       5064.919       3581.438
       2099.160       5073.847       3587.752
       2102.590       5073.747       3587.681
       2106.020       5065.159       3581.608
       2109.450            NaN            NaN
       2112.880            NaN            NaN
       2116.310       5075.778       3589.117
       2119.740       5069.073       3584.376
       2123.170       5065.109       3581.573
       2126.600       5064.808       3581.360
       2130.030       5074.839       3588.453
       2133.460       5074.690       3588.348
       2136.890       5066.994       3582.906
       2140.320       5069.965       3585.006
       2143.750       5068.416       3583.911
       2147.180       5069.046       3584.357
       2150.610       5069.039       3584.352
       2154.040       5075.788       3589.124
       2157.470       5076.052       3589.311
       2160.900       5076.045       3589.306
       2164.330       5077.141       3590.081
       2167.760            NaN            NaN
       2171.190            NaN            NaN
       2174.620       5063.011       3580.090
       2178.050       5063.005       3580.085
       2181.480       5064.236       3580.956
       2184.910       5065.192       3581.632
       2188.340            NaN            NaN
       2191.770            NaN            NaN
       2195.200       5062.971       3580.061
       2198.630       5076.984       3589.970
       2202.060       5077.171       3590.102
       2205.490       5072.025       3586.463
       2208.920       5074.037       3587.886
       2212.350            NaN            NaN
       2215.780            NaN            NaN
       2219.210            NaN            NaN
       2222.640            NaN            NaN
       2226.070            NaN            NaN
       2229.500       5065.722       3582.007
       2232.930       5065.855       3582.101
       2236.360       5065.848       3582.096
       2239.790       5062.883       3579.999
       2243.220       5065.493       3581.845
       2246.650       5067.108       3582.987
       2250.080       5069.526       3584.696
       2253.510       5068.666       3584.088
       2256.940       5063.941       3580.747
       2260.370       5066.022       3582.218
       2263.800       5066.964       3582.885
       2267.230       5066.546       3582.589
       2270.660       5077.073       3590.032
       2274.090            NaN            NaN
       2277.520       5077.206       3590.127
       2280.950       5070.354       3585.282
       2284.380       5073.491       3587.500
       2287.810       5072.645       3586.902
       2291.240       5066.119       3582.287
       2294.670            NaN            NaN
       2298.100            NaN            NaN
       2301.530            NaN            NaN
       2304.960       5067.792       3583.470
       2308.390       5068.779       3584.168
       2311.820            NaN            NaN
       2315.250            NaN            NaN
       2318.680            NaN            NaN
       2322.110            NaN            NaN
       2325.540            NaN            NaN
       2328.970       5076.004       3589.277
       2332.400            NaN            NaN
       2335.830            NaN            NaN
       2339.260            NaN            NaN
       2342.690            NaN            NaN
       2346.120       5077.543       3590.365
       2349.550       5076.411       3589.565
       2352.980       5076.300       3589.486
       2356.410       5066.643       3582.658
       2359.840       5069.768       3584.867
       2363.270            NaN            NaN
       2366.700            NaN            NaN
       2370.130            NaN            NaN
       2373.560       5073.087       3587.214
       2376.990       5073.081       3587.210
       2380.420       5075.493       3588.915
       2383.850       5074.407       3588.148
       2387.280       5068.738       3584.139
       2390.710       5068.732       3584.135
       2394.140       5077.450       3590.300
       2397.570       5077.436       3590.289
       2401.000       5070.182       3585.160
       2404.430       5070.176       3585.156
       2407.860       5071.615       3586.173
       2411.290       5072.544       3586.830
       2414.720            NaN            NaN
       2418.150            NaN            NaN
       2421.580            NaN            NaN
       2425.010       5069.897       3584.958
       2428.440       5062.531       3579.750
       2431.870       5062.525       3579.746
       2435.300       5076.252       3589.453
       2438.730       5076.316       3589.498
       2442.160            NaN            NaN
       2445.590            NaN            NaN
       2449.020       5070.858       3585.638
       2452.450       5071.149       3585.844
       2455.880       5066.188       3582.336
       2459.310            NaN            NaN
       2462.740            NaN            NaN
       2466.170       5073.419       3587.449
       2469.600       5074.394       3588.138
       2473.030       5077.866       3590.594
       2476.460            NaN            NaN
       2479.890            NaN            NaN
       2483.320       5062.434       3579.682
       2486.750            NaN            NaN
       2490.180            NaN            NaN
       2493.610       5069.252       3584.502
       2497.040       5062.410       3579.665
       2500.470       5069.189       3584.458
       2503.900       5076.173       3589.396
       2507.330       5078.320       3590.915
       2510.760       5076.519       3589.641
       2514.190       5074.916       3588.507
       2517.620       5074.015       3587.871
       2521.050       5075.807       3589.138
       2524.480       5075.585       3588.980
       2527.910       5066.175       3582.327
       2531.340       5068.906       3584.258
       2534.770       5071.156       3585.849
       2538.200       5069.607       3584.754
       2541.630       5069.948       3584.995
       2545.060       5072.004       3586.448
       2548.490       5072.665       3586.916
       2551.920       5070.676       3585.509
       2555.350       5074.590       3588.277
       2558.780       5075.182       3588.695
       2562.210       5068.616       3584.053
       2565.640       5068.635       3584.066
       2569.070       5075.841       3589.162
       2572.500       5075.195       3588.705
       2575.930       5065.674       3581.972
       2579.360       5067.005       3582.913
       2582.790       5072.176       3586.570
       2586.220       5071.708       3586.239
       2589.650       5062.252       3579.553
       2593.080       5074.523       3588.229
       2596.510       5075.024       3588.584
       2599.940            NaN            NaN
       2603.370            NaN            NaN
       2606.800       5075.752       3589.099
       2610.230       5076.939       3589.938
       2613.660       5074.043       3587.890
       2617.090            NaN            NaN
       2620.520            NaN            NaN
       2623.950       5069.012       3584.333
       2627.380       5075.519       3588.934
       2630.810            NaN            NaN
       2634.240            NaN            NaN
       2637.670            NaN            NaN
       2641.100            NaN            NaN
       2644.530       5075.418       3588.863
       2647.960       5065.946       3582.165
       2651.390            NaN            NaN
       2654.820            NaN            NaN
       2658.250       5072.703       3586.943
       2661.680       5077.515       3590.346
       2665.110            NaN            NaN
       2668.540       5076.882       3589.898
       2671.970       5065.984       3582.192
       2675.400            NaN            NaN
       2678.830            NaN            NaN
       2682.260       5074.106       3587.935
       2685.690       5074.793       3588.421
       2689.120       5068.496       3583.968
       2692.550       5062.082       3579.433
       2695.980       5062.086       3579.436
       2699.410            NaN            NaN
       2702.840            NaN            NaN
       2706.270            NaN            NaN
       2709.700       5072.698       3586.939
       2713.130       5074.918       3588.509
       2716.560       5072.394       3586.724
       2719.990            NaN            NaN
       2723.420            NaN            NaN
       2726.850            NaN            NaN
       2730.280            NaN            NaN
       2733.710       5063.810       3580.654
       2737.140       5063.804       3580.651
       2740.570            NaN            NaN
       2744.000            NaN            NaN
       2747.430            NaN            NaN
       2750.860            NaN            NaN
       2754.290            NaN            NaN
       2757.720            NaN            NaN
       2761.150            NaN            NaN
       2764.580            NaN            NaN
       2768.010            NaN            NaN
       2771.440       5063.405       3580.368
       2774.870       5076.103       3589.347
       2778.300            NaN            NaN
       2781.730       5079.374       3591.660
       2785.160            NaN            NaN
       2788.590       5076.582       3589.686
       2792.020            NaN            NaN
       2795.450       5076.989       3589.973
       2798.880       5064.821       3581.369
       2802.310       5065.623       3581.936
       2805.740       5077.074       3590.034
       2809.170            NaN            NaN
       2812.600       5077.010       3589.989
       2816.030       5061.887       3579.295
       2819.460            NaN            NaN
       2822.890            NaN            NaN
       2826.320            NaN            NaN
       2829.750            NaN            NaN
       2833.180            NaN            NaN
       2836.610       5069.230       3584.487
       2840.040            NaN            NaN
       2843.470            NaN            NaN
       2846.900       5065.877       3582.116
       2850.330       5066.972       3582.891
       2853.760            NaN            NaN
       2857.190            NaN            NaN
       2860.620       5069.037       3584.351
       2864.050       5075.120       3588.652
       2867.480       5076.883       3589.899
       2870.910       5076.293       3589.481
       2874.340       5075.807       3589.138
       2877.770       5073.141       3587.252
       2881.200       5063.703       3580.579
       2884.630       5075.884       3589.192
       2888.060       5076.181       3589.402
       2891.490       5072.371       3586.708
       2894.920       5071.602       3586.164
       2898.350       5061.762       3579.206
       2901.780       5073.178       3587.279
       2905.210       5070.449       3585.349
       2908.640            NaN            NaN
       2912.070            NaN            NaN
       2915.500            NaN            NaN
       2918.930            NaN            NaN
       2922.360       5061.983       3579.363
       2925.790       5061.978       3579.359
       2929.220       5061.973       3579.356
       2932.650            NaN            NaN
       2936.080            NaN            NaN
       2939.510            NaN            NaN
       2942.940            NaN            NaN
       2946.370       5074.938       3588.523
       2949.800            NaN            NaN
       2953.230            NaN            NaN
       2956.660            NaN            NaN
       2960.090            NaN            NaN
       2963.520            NaN            NaN
