          3.430      -Infinity      -Infinity
       1131.900            NaN            NaN
       1135.330            NaN            NaN
       1138.760            NaN            NaN
       1142.190            NaN            NaN
       1145.620            NaN            NaN
       1149.050            NaN            NaN
       1152.480            NaN            NaN
       1155.910            NaN            NaN
       1159.340            NaN            NaN
       1162.770            NaN            NaN
       1166.200            NaN            NaN
       1169.630            NaN            NaN
       1173.060            NaN            NaN
       1176.490            NaN            NaN
       1179.920            NaN            NaN
       1183.350            NaN            NaN
       1186.780            NaN            NaN
       1190.210            NaN            NaN
       1193.640            NaN            NaN
       1197.070            NaN            NaN
       1200.500            NaN            NaN
       1203.930            NaN            NaN
       1207.360            NaN            NaN
       1210.790            NaN            NaN
       1214.220            NaN            NaN
       1217.650            NaN            NaN
       1221.080            NaN            NaN
       1224.510            NaN            NaN
       1227.940            NaN            NaN
       1231.370            NaN            NaN
       1234.800            NaN            NaN
       1238.230            NaN            NaN
       1241.660            NaN            NaN
       1245.090            NaN            NaN
       1248.520            NaN            NaN
       1251.950            NaN            NaN
       1255.380            NaN            NaN
       1258.810            NaN            NaN
       1262.240            NaN            NaN
       1265.670            NaN            NaN
       1269.100            NaN            NaN
       1272.530            NaN            NaN
       1275.960            NaN            NaN
       1279.390            NaN            NaN
       1282.820            NaN            NaN
       1286.250            NaN            NaN
       1289.680            NaN            NaN
       1293.110            NaN            NaN
       1296.540            NaN            NaN
       1299.970            NaN            NaN
       1303.400            NaN            NaN
       1306.830            NaN            NaN
       1310.260            NaN            NaN
       1313.690            NaN            NaN
       1317.120            NaN            NaN
       1320.550            NaN            NaN
       1323.980            NaN            NaN
       1327.410            NaN            NaN
       1330.840            NaN            NaN
       1334.270            NaN            NaN
       1337.700            NaN            NaN
       1341.130            NaN            NaN
       1344.560            NaN            NaN
       1347.990            NaN            NaN
       1351.420            NaN            NaN
       1354.850            NaN            NaN
       1358.280            NaN            NaN
       1361.710            NaN            NaN
       1365.140            NaN            NaN
       1368.570            NaN            NaN
       1372.000            NaN            NaN
       1375.430            NaN            NaN
       1378.860            NaN            NaN
       1382.290            NaN            NaN
       1385.720            NaN            NaN
       1389.150            NaN            NaN
       1392.580            NaN            NaN
       1396.010            NaN            NaN
       1399.440            NaN            NaN
       1402.870            NaN            NaN
       1406.300            NaN            NaN
       1409.730            NaN            NaN
       1413.160            NaN            NaN
       1416.590            NaN            NaN
       1420.020            NaN            NaN
       1423.450            NaN            NaN
       1426.880            NaN            NaN
       1430.310            NaN            NaN
       1433.740            NaN            NaN
       1437.170            NaN            NaN
       1440.600            NaN            NaN
       1444.030            NaN            NaN
       1447.460            NaN            NaN
       1450.890            NaN            NaN
       1454.320            NaN            NaN
       1457.750            NaN            NaN
       1461.180            NaN            NaN
       1464.610            NaN            NaN
       1468.040            NaN            NaN
       1471.470            NaN            NaN
       1474.900            NaN            NaN
       1478.330            NaN            NaN
       1481.760            NaN            NaN
       1485.190            NaN            NaN
       1488.620            NaN            NaN
       1492.050            NaN            NaN
       1495.480            NaN            NaN
       1498.910            NaN            NaN
       1502.340            NaN            NaN
       1505.770            NaN            NaN
       1509.200            NaN            NaN
       1512.630            NaN            NaN
       1516.060            NaN            NaN
       1519.490            NaN            NaN
       1522.920            NaN            NaN
       1526.350            NaN            NaN
       1529.780            NaN            NaN
       1533.210            NaN            NaN
       1536.640            NaN            NaN
       1540.070            NaN            NaN
       1543.500            NaN            NaN
       1546.930            NaN            NaN
       1550.360            NaN            NaN
       1553.790            NaN            NaN
       1557.220            NaN            NaN
       1560.650            NaN            NaN
       1564.080            NaN            NaN
       1567.510            NaN            NaN
       1570.940            NaN            NaN
       1574.370            NaN            NaN
       1577.800            NaN            NaN
       1581.230            NaN            NaN
       1584.660            NaN            NaN
       1588.090            NaN            NaN
       1591.520            NaN            NaN
       1594.950            NaN            NaN
       1598.380            NaN            NaN
       1601.810            NaN            NaN
       1605.240            NaN            NaN
       1608.670            NaN            NaN
       1612.100            NaN            NaN
       1615.530            NaN            NaN
       1618.960            NaN            NaN
       1622.390            NaN            NaN
       1625.820            NaN            NaN
       1629.250            NaN            NaN
       1632.680            NaN            NaN
       1636.110            NaN            NaN
       1639.540            NaN            NaN
       1642.970            NaN            NaN
       1646.400            NaN            NaN
       1649.830            NaN            NaN
       1653.260            NaN            NaN
       1656.690            NaN            NaN
       1660.120            NaN            NaN
       1663.550            NaN            NaN
       1666.980            NaN            NaN
       1670.410            NaN            NaN
       1673.840            NaN            NaN
       1677.270            NaN            NaN
       1680.700            NaN            NaN
       1684.130            NaN            NaN
       1687.560            NaN            NaN
       1690.990            NaN            NaN
       1694.420            NaN            NaN
       1697.850            NaN            NaN
       1701.280            NaN            NaN
       1704.710            NaN            NaN
       1708.140            NaN            NaN
       1711.570            NaN            NaN
       1715.000            NaN            NaN
       1718.430            NaN            NaN
       1721.860            NaN            NaN
       1725.290            NaN            NaN
       1728.720            NaN            NaN
       1732.150            NaN            NaN
       1735.580            NaN            NaN
       1739.010            NaN            NaN
       1742.440            NaN            NaN
       1745.870            NaN            NaN
       1749.300            NaN            NaN
       1752.730            NaN            NaN
       1756.160            NaN            NaN
       1759.590            NaN            NaN
       1763.020            NaN            NaN
       1766.450            NaN            NaN
       1769.880            NaN            NaN
       1773.310            NaN            NaN
       1776.740            NaN            NaN
       1780.170            NaN            NaN
       1783.600            NaN            NaN
       1787.030            NaN            NaN
       1790.460            NaN            NaN
       1793.890            NaN            NaN
       1797.320            NaN            NaN
       1800.750            NaN            NaN
       1804.180            NaN            NaN
       1807.610            NaN            NaN
       1811.040            NaN            NaN
       1814.470            NaN            NaN
       1817.900            NaN            NaN
       1821.330            NaN            NaN
       1824.760            NaN            NaN
       1828.190            NaN            NaN
       1831.620            NaN            NaN
       1835.050            NaN            NaN
       1838.480            NaN            NaN
       1841.910            NaN            NaN
       1845.340            NaN            NaN
       1848.770            NaN            NaN
       1852.200            NaN            NaN
       1855.630            NaN            NaN
       1859.060            NaN            NaN
       1862.490            NaN            NaN
       1865.920            NaN            NaN
       1869.350            NaN            NaN
       1872.780            NaN            NaN
       1876.210            NaN            NaN
       1879.640            NaN            NaN
       1883.070            NaN            NaN
       1886.500            NaN            NaN
       1889.930            NaN            NaN
       1893.360            NaN            NaN
       1896.790            NaN            NaN
       1900.220            NaN            NaN
       1903.650            NaN            NaN
       1907.080            NaN            NaN
       1910.510            NaN            NaN
       1913.940            NaN            NaN
       1917.370            NaN            NaN
       1920.800            NaN            NaN
       1924.230            NaN            NaN
       1927.660            NaN            NaN
       1931.090            NaN            NaN
       1934.520            NaN            NaN
       1937.950            NaN            NaN
       1941.380            NaN            NaN
       1944.810            NaN            NaN
       1948.240            NaN            NaN
       1951.670            NaN            NaN
       1955.100            NaN            NaN
       1958.530            NaN            NaN
       1961.960            NaN            NaN
       1965.390            NaN            NaN
       1968.820            NaN            NaN
       1972.250            NaN            NaN
       1975.680            NaN            NaN
       1979.110            NaN            NaN
       1982.540            NaN            NaN
       1985.970            NaN            NaN
       1989.400            NaN            NaN
       1992.830            NaN            NaN
       1996.260            NaN            NaN
       1999.690            NaN            NaN
       2003.120            NaN            NaN
       2006.550            NaN            NaN
       2009.980            NaN            NaN
       2013.410            NaN            NaN
