          3.430      -Infinity      -Infinity
       1396.010        -27.788        -19.649
       1399.440        -28.128        -19.890
       1402.870        -25.939        -18.341
       1406.300        -29.968        -21.190
       1409.730        -26.025        -18.402
       1413.160        -27.987        -19.790
       1416.590        -28.038        -19.826
       1420.020        -26.074        -18.437
       1423.450        -29.937        -21.169
       1426.880        -26.089        -18.447
       1430.310        -28.224        -19.958
       1433.740        -27.875        -19.711
       1437.170        -26.377        -18.652
       1440.600        -29.669        -20.979
       1444.030        -26.242        -18.556
       1447.460        -28.507        -20.158
       1450.890        -27.639        -19.544
       1454.320        -26.812        -18.959
       1457.750        -29.258        -20.689
       1461.180        -26.444        -18.699
       1464.610        -28.792        -20.359
       1468.040        -27.373        -19.356
       1471.470        -27.330        -19.325
       1474.900        -28.784        -20.354
       1478.330        -26.685        -18.869
       1481.760        -29.004        -20.509
       1485.190        -27.129        -19.183
       1488.620        -27.901        -19.729
       1492.050        -28.282        -19.998
       1495.480        -26.988        -19.083
       1498.910        -29.081        -20.563
       1502.340        -26.926        -19.040
       1505.770        -28.529        -20.173
       1509.200        -27.752        -19.624
       1512.630        -27.364        -19.349
       1516.060        -29.022        -20.522
       1519.490        -26.731        -18.902
       1522.920        -29.234        -20.671
       1526.350        -27.215        -19.244
       1529.780        -27.762        -19.631
       1533.210        -28.903        -20.437
       1536.640        -26.506        -18.742
       1540.070        -29.984        -21.202
       1543.500        -26.744        -18.911
       1546.930        -28.068        -19.847
       1550.360        -28.834        -20.389
       1553.790        -26.277        -18.581
       1557.220        -30.634        -21.661
       1560.650        -26.458        -18.709
       1564.080        -28.195        -19.937
       1567.510        -28.881        -20.422
       1570.940        -26.163        -18.500
       1574.370        -30.913        -21.859
       1577.800        -26.459        -18.709
       1581.230        -28.203        -19.943
       1584.660        -28.981        -20.493
       1588.090        -26.316        -18.608
       1591.520        -30.622        -21.653
       1594.950        -26.764        -18.925
       1598.380        -28.265        -19.987
       1601.810        -28.904        -20.438
       1605.240        -26.836        -18.976
       1608.670        -29.867        -21.119
       1612.100        -27.246        -19.265
       1615.530        -28.535        -20.177
       1618.960        -28.428        -20.101
       1622.390        -27.718        -19.600
       1625.820        -28.978        -20.490
       1629.250        -27.616        -19.528
       1632.680        -29.061        -20.549
       1636.110        -27.637        -19.543
       1639.540        -28.787        -20.355
       1642.970        -28.244        -19.971
       1646.400        -27.641        -19.545
       1649.830        -29.771        -21.051
       1653.260        -26.863        -18.995
       1656.690        -29.703        -21.003
       1660.120        -27.808        -19.663
       1663.550        -27.412        -19.383
       1666.980        -30.465        -21.542
       1670.410        -26.373        -18.648
       1673.840        -30.186        -21.345
       1677.270        -27.673        -19.568
       1680.700        -27.229        -19.254
       1684.130        -30.861        -21.822
       1687.560        -26.259        -18.568
       1690.990        -30.281        -21.412
       1694.420        -27.734        -19.611
       1697.850        -27.309        -19.311
       1701.280        -30.747        -21.741
       1704.710        -26.486        -18.728
       1708.140        -30.205        -21.358
       1711.570        -27.832        -19.680
       1715.000        -27.706        -19.591
       1718.430        -30.163        -21.329
       1721.860        -26.956        -19.061
       1725.290        -30.074        -21.266
       1728.720        -27.838        -19.684
       1732.150        -28.373        -20.063
       1735.580        -29.334        -20.742
       1739.010        -27.563        -19.490
       1742.440        -29.885        -21.132
       1745.870        -27.710        -19.594
       1749.300        -29.224        -20.665
       1752.730        -28.474        -20.134
       1756.160        -28.208        -19.946
       1759.590        -29.621        -20.945
       1763.020        -27.494        -19.441
       1766.450        -30.139        -21.312
       1769.880        -27.727        -19.606
       1773.310        -28.810        -20.372
       1776.740        -29.309        -20.724
       1780.170        -27.282        -19.291
       1783.600        -30.952        -21.886
       1787.030        -27.176        -19.217
       1790.460        -29.332        -20.741
       1793.890        -28.992        -20.500
       1797.320        -27.177        -19.217
       1800.750        -31.481        -22.260
       1804.180        -26.856        -18.990
       1807.610        -29.772        -21.052
       1811.040        -28.721        -20.309
       1814.470        -27.235        -19.258
       1817.900        -31.610        -22.352
       1821.330        -26.787        -18.941
       1824.760        -30.087        -21.274
       1828.190        -28.566        -20.199
       1831.620        -27.497        -19.443
       1835.050        -31.268        -22.110
       1838.480        -27.039        -19.120
       1841.910        -30.170        -21.333
       1845.340        -28.544        -20.184
       1848.770        -28.068        -19.847
       1852.200        -30.373        -21.477
       1855.630        -27.706        -19.591
       1859.060        -29.995        -21.209
       1862.490        -28.439        -20.109
       1865.920        -29.124        -20.594
       1869.350        -29.030        -20.527
       1872.780        -28.671        -20.274
       1876.210        -29.715        -21.012
